Term,Count
hoodrat,6
guala,6
nig nogs,5
peckerwoods,3
niggas,3
nigglets,3
niglets,3
WASPy,3
sheboon,3
moon crickets,3
trailer trash,3
white trash,3
hoodrats,2
yokels,2
niggers,2
niccas,2
nigguhs,2
Uncle Toms,2
coloreds,2
niggurs,2
wiggas,2
jiggaboos,2
spics,2
gypo,2
jiggaboo,2
wetback,2
border jumpers,2
niggahs,1
dindu,1
nigs,1
yids,1
zipperheads,1
curry munchers,1
cowboy killers,1
yellow bones,1
palefaces,1
niggars,1
coloureds,1
mokes,1
kneegrow,1
tar babies,1
niggors,1
honkie,1
Uncle Tom,1
jackeen,1
dink,1
wagon burners,1
dinks,1
wigga,1
jigaboo,1
yokel,1
trailer park trash,1
