Term,Count
guala,11
wigga,6
sand niggers,5
wops,4
wiggas,4
Chinamen,4
nips,3
piker,3
chonky,3
hosers,3
wiggers,3
wigger,3
Zionazis,2
limeys,2
hoser,2
jackeen,2
whigger,2
plastic paddy,2
guidos,2
greaseballs,2
heinies,2
bog trotters,2
polacks,2
Chinaman,2
Masshole,1
dink,1
dinks,1
kraut,1
sheepfucker,1
smick,1
camel fuckers,1
mungs,1
sand nigger,1
camel fucker,1
globalists,1
surrender monkey,1
flips,1
Hunyak,1
Fenian,1
wogs,1
krauts,1
eyetie,1
pikey,1
bohunk,1
plastic paddies,1
AmeriKKKan,1
Zionazi,1
ginzo,1
